,Unnamed: 0,industry_freq,sub_freq,type_freq,city_freq,actual_amount,industry_vertical,sub_vertical,city_location,investment_type,amount_in_usd,predicted_amount,predicted_amount_log,actual_amount_log,funded,Funded
442,895,0.3569254185692542,0.0003805175038051,0.4284627092846271,0.1411719939117199,620000.0,consumerinternet,onlinesalondiscovery&bookingservices,newdelhi,seedfunding,620000.0,221967.74857927996,12.31029187877968,13.3374763699232,True,True
443,1320,0.3569254185692542,0.0003805175038051,0.4585235920852359,0.102359208523592,3000000.0,consumerinternet,healthtestdiscovery&orderingservice,gurgaon,privateequity,3000000.0,5049678.8579976,15.434835404786108,14.914123179965662,True,True
444,311,0.3569254185692542,0.0011415525114155,0.4585235920852359,0.0190258751902587,10000000.0,consumerinternet,onlinepharmacystore,gurugram,privateequity,10000000.0,4581972.797318259,15.337640423366889,16.118095750958314,True,True
445,2202,0.0003805175038051,0.1997716894977169,0.4284627092846271,0.0034246575342465,150000.0,onlinefoodorderingmarketplace,unknown,vadodara,seedfunding,150000.0,471113.7688964061,13.06285701400868,11.918397239722838,True,True
446,2512,0.0003805175038051,0.1997716894977169,0.4585235920852359,0.1411719939117199,12500000.0,businessanditconsulting,unknown,newdelhi,privateequity,12500000.0,4639616.706823551,15.350142530037346,16.341239282272525,True,True
447,1513,0.1137747336377473,0.0003805175038051,0.4585235920852359,0.1411719939117199,740000.0,ecommerce,onlinemerchandizeetailer,newdelhi,privateequity,740000.0,3192894.27263688,14.976438672110124,13.51440681653079,True,True
448,329,0.3569254185692542,0.0003805175038051,0.0494672754946727,0.1997716894977169,1000000.0,consumerinternet,healthcareaggregator,mumbai,seed/angelfunding,1000000.0,763422.2109510085,13.54556782353502,13.815511557963774,True,True
449,357,0.0011415525114155,0.0015220700152207,0.4585235920852359,0.3002283105022831,12500000.0,foodandbeverages,onlinefooddelivery,bangalore,privateequity,12500000.0,5259252.599368801,15.475499673384272,16.341239282272525,True,True
450,1416,0.3569254185692542,0.0003805175038051,0.4585235920852359,0.0403348554033485,2500000.0,consumerinternet,hyperlocalgrocerydeliveryplatform,pune,privateequity,2500000.0,5294323.780105567,15.482146008604008,14.731801689838347,True,True
451,767,0.1818873668188736,0.0003805175038051,0.4585235920852359,0.3002283105022831,4600000.0,technology,opensourcelanguagefordatascienceandmachinelearning,bangalore,privateequity,4600000.0,4040270.306255439,15.211822402696258,15.341567078850604,True,True
452,2273,0.0003805175038051,0.1997716894977169,0.4585235920852359,0.1997716894977169,12500000.0,fitnesstrackingmanagementsolutions,unknown,mumbai,privateequity,12500000.0,4227763.541238878,15.257183934080649,16.341239282272525,True,True
453,1439,0.1818873668188736,0.0003805175038051,0.4585235920852359,0.102359208523592,1500000.0,technology,agritechsupplychainsolutionprovider,gurgaon,privateequity,1500000.0,4212118.421932509,15.253476504619568,14.220976332738882,True,True
454,225,0.0235920852359208,0.0003805175038051,0.4585235920852359,0.0190258751902587,10000000.0,finance,creditbasedlendingmarketplaceforsmallandmediumenterprises,gurugram,privateequity,10000000.0,6874317.755433553,15.743303106488405,16.118095750958314,True,True
455,1803,0.3569254185692542,0.0003805175038051,0.4284627092846271,0.1411719939117199,450000.0,consumerinternet,childrenentertainmentgames&products,newdelhi,seedfunding,450000.0,221967.74857927996,12.31029187877968,13.017005083966255,True,True
456,1663,0.3569254185692542,0.0007610350076103,0.4284627092846271,0.0403348554033485,145000.0,consumerinternet,healthserviceaggregatorplatform,pune,seedfunding,145000.0,282531.95898890065,12.551550491750596,11.884495917930655,True,True
457,2042,0.3569254185692542,0.0003805175038051,0.4284627092846271,0.1411719939117199,240000.0,consumerinternet,intercitycabaggregator,newdelhi,seedfunding,240000.0,221967.74857927996,12.31029187877968,12.388398368982116,True,True
