,industry_freq,sub_freq,type_freq,city_freq,Actual_Funded,industry_vertical,sub_vertical,city_location,investment_type,funded_prediction
157,0.18188736681887366,0.000380517503805175,0.4585235920852359,0.0334855403348554,False,technology,computervisionandartificialintelligence(ai)platform,chennai,privateequity,True
2871,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.0334855403348554,True,hiringanalyticsplatform,unknown,chennai,seedfunding,True
2201,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.1997716894977169,True,alternatemobilemonetizationplatform,unknown,mumbai,privateequity,True
1715,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.3002283105022831,False,consumerinternet,parenting&childcareapp,bangalore,seedfunding,True
2035,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.1997716894977169,False,consumerinternet,mobilebasedgeotargetfashionmarketplace,mumbai,seedfunding,True
1907,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.3002283105022831,True,consumerinternet,mobileemailproductivitytool,bangalore,seedfunding,True
495,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.3002283105022831,True,technology,bankingsoftwarelicenseplatform,bangalore,seedfunding,False
1301,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.03576864535768645,True,consumerinternet,motorbikerentalplatform,hyderabad,seedfunding,True
1818,0.11377473363774733,0.00076103500761035,0.4585235920852359,0.14117199391171995,True,ecommerce,ecommercesaassolutions,newdelhi,privateequity,True
1964,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.14117199391171995,True,technology,mobilegamingplatform,newdelhi,seedfunding,False
1280,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.032343987823439876,False,consumerinternet,sportsdiscoveryplatform,noida,seedfunding,True
142,0.02359208523592085,0.000380517503805175,0.4585235920852359,0.001902587519025875,True,finance,smelending,india,privateequity,True
2594,0.001141552511415525,0.1997716894977169,0.4585235920852359,0.001902587519025875,True,bigdata&analyticsplatform,unknown,india,privateequity,True
97,0.00228310502283105,0.00076103500761035,0.0076103500761035,0.14117199391171995,True,foodandbeverage,brewery,newdelhi,seriesb,True
393,0.11377473363774733,0.00076103500761035,0.0030441400304414,0.3002283105022831,False,ecommerce,foodandbeverages,bangalore,angel/seedfunding,True
110,0.0015220700152207,0.000380517503805175,0.00076103500761035,0.01902587519025875,True,transportation,busaggregation,gurugram,ventureround,True
1988,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.0015220700152207,False,technology,unmannedaerialvehiclescreator,kanpur,seedfunding,True
2092,0.11377473363774733,0.00076103500761035,0.4284627092846271,0.3002283105022831,False,ecommerce,onlinerentalmarketplace,bangalore,seedfunding,True
687,0.18188736681887366,0.000380517503805175,0.4585235920852359,0.03576864535768645,True,technology,workshopmanagementsoftwareplatform,hyderabad,privateequity,True
486,0.18188736681887366,0.000380517503805175,0.4585235920852359,0.3002283105022831,True,technology,iotbasedtechstartup,bangalore,privateequity,True
2780,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.10235920852359208,True,lifestyleecommerceportal,unknown,gurgaon,privateequity,True
2016,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.3002283105022831,True,technology,"tvsearch,guideandremotemobileapp",bangalore,seedfunding,False
738,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.03576864535768645,True,consumerinternet,ambulanceaggregatorandmedicaltaxiprovider,hyderabad,seedfunding,True
2566,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.3002283105022831,True,languagelocalizationcloudplatform,unknown,bangalore,privateequity,True
